Bellamy, Lou - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
02/06/26	SUNY Poly	0	4	0-1	0-1	0-0	0	0	0	0	0	0
02/07/26	Utica	0	0	0-0	0-0	0-0	0	0	0	0	0	0

-----
Galanis, Ioannis - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/08/25	CWRU	0	8	0-0	0-0	0-0	0	1	0	1	0	1
11/19/25	Hilbert	4	13	2-2	0-0	0-0	1	2	0	0	0	2
11/22/25	Buffalo State	0	14	0-1	0-0	0-0	1	0	1	0	1	4
11/25/25	SUNY Morrisville	0	3	0-0	0-0	0-0	1	0	0	0	0	0
12/09/25	Grove City	2	23	1-4	0-1	0-1	5	1	0	0	1	1
12/12/25	Fredonia	6	27	3-5	0-1	0-0	5	2	0	1	4	2
01/03/26	Bethany (WV)	0	11	0-0	0-0	0-0	0	0	0	0	0	0
01/06/26	Nazareth	5	23	2-6	1-3	0-0	0	2	0	1	0	0
01/09/26	Utica	0	17	0-3	0-1	0-0	5	1	0	2	2	1
01/10/26	SUNY Poly	0	16	0-1	0-0	0-2	1	0	0	1	0	2
01/13/26	St. John Fisher	4	24	2-3	0-0	0-0	3	1	0	0	0	3
01/16/26	Russell Sage	1	21	0-2	0-1	1-2	4	0	0	1	0	1
01/17/26	Hartwick	2	10	1-1	0-0	0-1	1	0	0	0	0	1
01/23/26	Brockport	2	17	1-2	0-0	0-0	1	0	0	0	2	1
01/24/26	Geneseo	2	17	1-2	0-0	0-0	5	0	1	0	0	2
01/27/26	Alfred	0	11	0-2	0-0	0-0	2	0	1	0	0	1
01/30/26	Keuka	2	19	1-2	0-0	0-1	1	0	1	0	1	1
01/31/26	Elmira	0	11	0-1	0-0	0-0	1	0	0	0	0	2
02/06/26	SUNY Poly	2	14	1-2	0-0	0-0	2	0	0	0	1	2
02/07/26	Utica	0	12	0-1	0-0	0-0	1	0	0	0	0	0

-----
Bialek, Jair - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	0	7	0-0	0-0	0-0	1	0	0	0	2	0
11/08/25	CWRU	2	6	0-0	0-0	2-2	1	0	0	0	0	0
11/13/25	Alfred St.	8	20	3-3	2-2	0-0	4	1	0	0	0	0
11/19/25	Hilbert	6	28	2-4	2-4	0-0	3	1	0	1	0	3
11/22/25	Buffalo State	0	19	0-1	0-1	0-0	0	2	1	2	0	1
11/25/25	SUNY Morrisville	0	14	0-2	0-1	0-0	3	1	0	0	0	0
12/09/25	Grove City	0	13	0-0	0-0	0-0	0	1	0	1	1	1
12/12/25	Fredonia	0	12	0-0	0-0	0-0	2	0	0	0	1	2
01/03/26	Bethany (WV)	0	9	0-0	0-0	0-0	3	0	0	0	1	3
01/06/26	Nazareth	0	20	0-4	0-4	0-0	2	0	0	0	0	2
01/09/26	Utica	3	12	1-2	1-2	0-0	0	0	0	1	0	4
